Ano,Mês,Ano Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Residencial,Industrial,Comercial,Rural,Poder Público,Iluminação Pública,Serviço Público,Consumo Próprio,Consumo,Consumo Médio,Rlin
2017,05,2017-05,19.08108108108108,290.4054054054054,980.6694341351351,16.858795702702704,10.048648648648646,2.855272864864865,386408.0,21630.0,67801.0,812572.2,55921.0,628284.0,318487.0,56865.0,2347968.2,2482008.0472361105,2485114.260156259
2017,06,2017-06,13.81081081081081,147.1081081081081,981.8355339999999,14.978623675675678,9.13783783783784,2.7273489189189193,379358.0,20970.0,66821.0,841748.4,57930.0,659377.0,291818.0,57646.0,2375668.4,2482008.0472361105,2485302.5154847526
2017,07,2017-07,7.162162162162162,52.35675675675676,985.4235302972972,15.536282621621623,8.31081081081081,2.798570162162162,372295.0,24122.0,66907.0,849720.3,57686.0,658138.0,284224.0,56883.0,2369975.3,2482008.0472361105,2485490.7708132467
2017,08,2017-08,12.783783783783784,160.1945945945946,981.3098383243241,16.014704513513514,9.913513513513513,3.140473189189189,366538.0,25759.0,68087.0,864424.3,54669.0,646779.0,288393.0,55440.0,2370089.3,2482008.0472361105,2485679.0261417404
2017,09,2017-09,12.243243243243244,135.2972972972973,981.7225165945945,18.830798621621625,8.845945945945946,3.105690513513513,392717.0,19186.0,67035.0,865826.5,59812.0,669637.0,279987.0,58449.0,2412649.5,2482008.0472361105,2485867.281470234
2017,10,2017-10,15.297297297297296,224.96216216216217,977.5373463783786,18.553542189189194,10.894594594594599,3.275552162162162,387340.0,20363.0,68367.0,813106.1,56076.0,647111.0,279534.0,56134.0,2328031.1,2482008.0472361105,2486055.536798728
2017,11,2017-11,10.864864864864865,130.02162162162165,976.8082118918919,19.691036567567572,9.543243243243245,3.052524810810811,396711.0,18004.0,66477.0,831015.6,56518.0,642354.0,291988.0,56637.0,2359704.6,2482008.0472361105,2486243.792127222
2017,12,2017-12,10.432432432432432,101.4972972972973,975.7468720540539,23.14482918918919,9.872972972972974,3.0268504864864854,428444.0,12887.0,67566.0,812051.7,62791.0,696089.0,404321.0,58545.0,2542694.7,2482008.0472361105,2486432.0474557155
2018,01,2018-01,14.27027027027027,165.43783783783783,976.2101415405406,23.200363405405405,8.52162162162162,2.933407999999999,485350.4160000001,19868.298,69589.13399999999,763479.5100000001,61612.81000000001,811653.4550000001,539692.068,62454.34,2813700.0310000004,2482008.0472361105,2486620.302784209
2018,02,2018-02,8.45945945945946,81.31891891891891,977.6064794864864,22.463248594594592,8.383783783783784,2.7307586756756757,465775.1439999998,21027.855999999996,63433.378,777367.7680000002,60607.166,766140.4560000002,509496.94100000005,58974.412000000004,2722823.1210000003,2482008.0472361105,2486808.5581127033
